product_name,num_product
Agriculture,(3978931)
Food & Beverage,(1844710)
Apparel,(7293919)
Textile & Leather Product,(6820301)
Fashion Accessories,(3861822)
"Timepieces, Jewelry, Eyewear",(9188403)
Vehicles & Accessories,(11099078)
"Luggage, Bags & Cases",(7752108)
Shoes & Accessories,(1359509)
Consumer Electronic,(19039688)
Home Appliance,(3377259)
Security & Protection,(6664595)
Electrical Equipment & Supplies,(12465565)
Telecommunication,(9556665)
Sports & Entertainment,(7010615)
Gifts & Crafts,(8192465)
Toys & Hobbies,(2548903)
Health & Medical,(14566191)
Beauty & Personal Care,(20219118)
Construction & Real Estate,(32362320)
Home & Garden,(17874897)
Lights & Lighting,(17198857)
Furniture,(6691014)
Machinery,(37337099)
Fabrication Services,(8309870)
Tools & Hardware,(2064999)
Minerals & Metallurgy,(17030847)
Chemicals,(6071252)
Rubber & Plastics,(4608372)
Energy,(2587583)
Packaging & Printing,(20135549)
Office & School Supplies,(5188647)
Service Equipment,(7846483)
